rowcode	selection	commodity
63994	186	672
63995	186	827
63996	186	635
63997	186	864
63998	186	387
63999	186	1263
64000	186	316
64001	186	587
64002	186	41
64003	186	898
64004	186	630
64005	186	291
64006	186	1307
64007	186	1100
64008	186	826
64009	186	764
64010	186	730
64011	186	340
64012	186	286
64013	186	403
64014	186	206
64015	186	971
64016	186	525
64017	186	1505
64018	186	398
64019	186	940
64020	186	863
64021	186	1290
64022	186	866
64023	186	43
64024	186	195
64025	186	211
64026	186	942
64027	187	219
64028	187	516
64029	187	50
64030	187	486
64031	187	1511
64032	187	146
64033	187	26
64034	187	134
64035	187	70
64036	187	286
64037	187	136
64038	187	717
64039	187	864
64040	187	114
64041	187	333
64042	187	936
64043	187	36
64044	187	312
64045	187	22
64046	187	160
64047	187	88
64048	187	642
64049	187	1074
64050	187	140
64051	187	41
64052	187	399
64053	187	61
64054	187	400
64055	187	450
64056	187	141
64057	187	1333
64058	187	97
64059	187	1385
64060	187	168
64061	187	347
64062	187	201
64063	187	478
64064	187	317
64065	187	115
64066	187	538
64067	187	21
64068	187	1028
64069	187	78
64070	187	32
64071	187	735
64072	187	55
64073	187	56
64074	187	66
64075	187	6
64076	187	181
64077	187	191
64078	187	138
64079	187	498
64080	187	660
64081	187	326
64082	187	826
64083	187	324
64084	187	719
64085	187	116
64086	187	547
64087	187	246
64088	187	1036
64089	187	164
64090	187	269
64091	187	294
64092	187	338
64093	187	7
64094	187	359
64095	187	11
64096	187	204
64097	187	171
64098	187	841
64099	187	133
64100	187	39
64101	187	17
64102	187	732
64103	187	410
64104	187	59
64105	187	18
64106	187	203
64107	187	231
64108	187	174
64109	187	120
64110	187	144
64111	187	235
64112	187	132
64113	187	150
64114	187	16
64115	187	83
64116	187	161
64117	187	848
64118	187	1102
64119	187	597
64120	187	913
64121	187	480
64122	187	84
64123	187	552
64124	187	292
64125	187	585
64126	187	356
64127	187	241
64128	187	308
64129	187	1017
64130	187	43
64131	187	463
64132	187	851
64133	187	1161
64134	187	247
64135	187	54
64136	187	889
64137	187	448
64138	187	1000
64139	187	492
64140	187	460
64141	187	102
64142	187	252
64143	187	156
64144	187	1113
64145	187	404
64146	187	540
64147	187	175
64148	187	701
64149	187	320
64150	187	922
64151	187	180
64152	187	403
64153	187	944
64154	187	314
64155	187	786
64156	187	1628
64157	187	123
64158	187	124
64159	187	790
64160	187	86
64161	187	5
64162	187	546
64163	187	24
64164	187	67
64165	187	1431
64166	187	289
64167	187	173
64168	187	76
64169	187	352
64170	187	296
64171	187	309
64172	187	438
64173	187	723
64174	187	475
64175	187	172
64176	187	113
64177	187	1420
64178	187	783
64179	187	52
64180	187	1247
64181	187	42
64182	187	1100
64183	187	199
64184	187	522
64185	187	186
64186	187	1141
64187	187	33
64188	187	1123
64189	187	234
64190	187	64
64191	187	209
64192	187	795
64193	187	345
64194	187	674
64195	187	782
64196	187	1650
64197	187	14
64198	187	344
64199	187	361
64200	187	482
64201	187	218
64202	187	343
64203	187	63
64204	187	823
64205	187	714
64206	187	243
64207	187	154
64208	187	1416
64209	187	525
64210	187	808
64211	187	254
64212	187	452
64213	187	189
64214	187	874
64215	187	806
64216	187	176
