rowcode	selection	commodity
39308	107	56
39309	107	284
39310	107	493
39311	107	186
39312	107	328
39313	107	254
39314	107	17
39315	107	738
39316	107	1065
39317	107	36
39318	107	650
39319	107	192
39320	107	247
39321	107	246
39322	107	1454
39323	107	41
39324	107	22
39325	107	91
39326	107	228
39327	107	401
39328	107	878
39329	107	231
39330	107	544
39331	107	50
39332	107	26
39333	107	6
39334	107	515
39335	107	33
39336	107	1132
39337	107	123
39338	107	404
39339	107	1297
39340	107	61
39341	107	37
39342	107	913
39343	107	1126
39344	107	941
39345	107	175
39346	107	1412
39347	107	39
39348	107	70
39349	107	455
39350	107	77
39351	107	1262
39352	107	181
39353	107	274
39354	107	71
39355	107	276
39356	107	937
39357	107	1201
39358	107	121
39359	107	138
39360	107	492
39361	107	410
39362	107	69
39363	107	695
39364	107	135
39365	107	84
39366	107	85
39367	107	134
39368	107	137
39369	107	206
39370	107	815
39371	107	741
39372	107	146
39373	107	619
39374	107	775
39375	107	191
39376	107	278
39377	107	901
39378	107	311
39379	107	64
39380	107	797
39381	107	359
39382	107	65
39383	107	1
39384	107	1068
39385	107	674
39386	107	7
39387	107	245
39388	107	642
39389	107	83
39390	107	782
39391	107	78
39392	107	10
39393	107	538
39394	107	467
39395	107	155
39396	107	72
39397	107	216
39398	107	748
39399	107	1519
39400	107	190
39401	107	164
39402	107	250
39403	107	174
39404	107	975
39405	107	525
39406	107	476
39407	107	585
39408	107	814
39409	107	150
39410	107	1086
39411	107	143
39412	107	604
39413	107	511
39414	107	259
39415	107	238
39416	107	1145
39417	107	157
39418	107	753
39419	107	344
39420	107	520
39421	107	53
39422	107	203
39423	107	936
39424	107	257
39425	107	189
39426	107	357
39427	107	27
39428	107	376
39429	107	125
39430	107	324
39431	107	610
39432	107	5
39433	107	126
39434	107	272
39435	107	4
39436	107	267
39437	107	88
39438	107	445
39439	107	1383
39440	107	719
39441	107	289
39442	107	345
39443	107	838
39444	107	269
39445	107	922
39446	107	304
39447	107	806
39448	107	379
39449	107	627
39450	107	273
39451	107	465
39452	107	938
39453	107	106
39454	107	110
39455	107	261
39456	107	547
39457	107	234
39458	107	495
39459	107	786
39460	107	906
39461	107	809
39462	107	1548
39463	107	693
39464	107	952
39465	107	817
39466	107	1189
39467	107	573
39468	107	917
39469	107	86
39470	107	59
39471	107	131
39472	107	43
39473	107	218
39474	107	102
39475	107	811
39476	107	713
39477	107	447
39478	107	795
39479	107	133
39480	107	112
39481	107	687
39482	107	303
39483	107	111
39484	107	1032
39485	107	915
39486	107	51
39487	107	722
39488	107	1002
39489	107	317
39490	107	54
39491	107	19
39492	107	864
39493	107	390
39494	107	684
39495	107	122
39496	107	1323
39497	107	490
39498	107	99
39499	107	434
39500	107	908
39501	107	1247
39502	107	196
39503	107	528
39504	107	98
39505	107	2
39506	107	426
39507	107	11
39508	108	1102
39509	108	146
39510	108	22
39511	108	50
39512	108	242
39513	108	19
39514	108	186
39515	108	547
39516	108	809
39517	108	191
39518	108	36
39519	108	274
39520	108	41
39521	108	7
39522	108	817
39523	108	52
39524	108	189
39525	108	738
39526	108	914
39527	108	17
39528	108	137
39529	108	996
39530	108	214
39531	108	570
39532	108	953
39533	108	18
39534	108	143
39535	108	72
39536	108	51
39537	108	284
39538	108	328
39539	108	38
39540	108	69
39541	108	70
39542	108	26
39543	108	744
39544	108	748
39545	108	110
39546	108	973
39547	108	445
39548	108	11
39549	108	1026
39550	108	231
39551	108	674
39552	108	130
39553	108	86
39554	108	59
39555	108	695
39556	108	1218
39557	108	450
39558	108	642
39559	108	15
39560	108	777
39561	108	10
39562	108	917
39563	108	1189
39564	108	367
39565	108	28
39566	108	727
39567	108	401
39568	108	561
39569	108	1002
39570	108	185
39571	108	221
39572	108	223
39573	108	966
39574	108	404
39575	108	1100
39576	108	438
39577	108	269
39578	108	565
39579	108	1014
39580	108	120
39581	108	129
39582	108	360
39583	108	5
39584	108	465
39585	108	99
39586	108	245
39587	108	387
39588	108	2
39589	108	247
39590	108	1068
39591	108	639
39592	108	144
39593	108	203
39594	108	88
39595	108	261
39596	108	422
39597	108	1625
39598	108	753
39599	108	723
39600	108	631
39601	108	43
39602	108	1179
39603	108	179
39604	108	381
39605	108	278
39606	108	1134
39607	108	883
39608	108	1156
39609	108	111
39610	108	104
39611	108	164
39612	108	56
39613	108	1042
39614	108	121
39615	108	388
39616	108	1086
39617	108	136
39618	108	578
39619	108	270
39620	108	515
39621	108	585
39622	108	1374
39623	108	1
39624	108	65
39625	108	634
39626	108	6
39627	108	63
39628	108	815
39629	108	210
39630	108	343
39631	108	1507
39632	108	814
39633	108	786
39634	108	147
39635	108	1124
39636	108	1727
39637	108	544
39638	108	206
39639	108	156
39640	108	134
39641	108	471
39642	108	1271
39643	108	950
39644	108	929
39645	108	881
39646	108	73
39647	108	1148
39648	108	456
39649	108	922
39650	108	626
39651	108	540
39652	108	91
39653	108	83
39654	108	79
39655	108	610
39656	108	181
39657	108	133
39658	108	949
39659	108	123
39660	108	84
39661	108	938
39662	108	1412
39663	108	477
39664	108	94
39665	108	1454
39666	108	650
39667	108	490
39668	108	263
39669	108	1491
39670	108	1728
39671	108	24
39672	108	652
39673	108	89
39674	108	952
39675	108	774
39676	108	64
39677	108	454
39678	108	192
39679	108	1586
39680	108	701
39681	108	928
39682	108	1583
39683	108	32
39684	108	1038
39685	108	180
39686	108	218
39687	108	344
39688	108	82
39689	108	455
39690	108	238
39691	108	4
39692	108	1621
39693	108	1216
39694	108	132
39695	108	246
39696	108	1126
39697	108	212
39698	108	426
39699	108	345
39700	108	775
39701	108	1357
39702	109	231
39703	109	952
39704	109	684
39705	109	245
39706	109	70
39707	109	18
39708	109	144
39709	109	22
39710	109	173
39711	109	642
39712	109	69
39713	109	186
39714	109	143
39715	109	686
39716	109	50
39717	109	242
39718	109	452
39719	109	200
39720	109	257
39721	109	175
39722	109	343
39723	109	27
39724	109	164
39725	109	36
39726	109	105
39727	109	180
39728	109	422
39729	109	228
39730	109	8
39731	109	845
39732	109	610
39733	109	269
39734	109	32
39735	109	357
39736	109	996
39737	109	11
39738	109	190
39739	109	817
39740	109	968
39741	109	72
39742	109	1454
39743	109	65
39744	109	16
39745	109	688
39746	109	59
39747	109	1016
39748	109	1387
39749	109	937
39750	109	191
39751	109	86
39752	109	917
39753	109	361
39754	109	63
39755	109	438
39756	109	742
39757	109	250
39758	109	110
39759	109	797
39760	109	695
39761	109	570
39762	109	91
39763	109	97
39764	109	123
39765	109	6
39766	109	328
39767	109	56
39768	109	852
39769	109	216
39770	109	1236
39771	109	1318
39772	109	84
39773	109	88
39774	109	674
39775	109	722
39776	109	404
