rowcode	selection	commodity
74793	180	1010
74794	180	1062
74795	180	113
74796	180	687
74797	180	863
74798	180	1111
74799	180	464
74800	180	1064
74801	180	1733
74802	180	680
74803	180	705
74804	180	787
74805	180	1065
74806	180	158
74807	180	1436
74808	180	399
74809	180	602
74810	180	540
74811	180	652
74812	180	369
74813	180	1267
74814	180	782
74815	180	470
74816	180	274
74817	180	437
74818	180	1162
74819	180	1447
74820	180	1104
74821	180	1231
74822	180	299
74823	180	347
74824	180	52
74825	180	305
74826	180	364
74827	180	895
74828	180	453
74829	180	407
74830	180	426
74831	180	638
74832	180	867
74833	180	686
74834	180	145
74835	180	227
74836	180	849
74837	180	418
74838	180	1518
74839	180	10
74840	180	297
74841	180	981
74842	180	279
74843	180	1520
74844	180	316
74845	180	1056
74846	180	1088
74847	180	1046
74848	180	925
74849	180	1351
74850	180	367
74851	180	478
74852	180	183
74853	180	156
74854	180	14
74855	180	340
74856	180	144
74857	180	256
74858	180	632
74859	180	1813
74860	180	375
74861	180	1223
74862	180	1756
74863	180	474
74864	180	492
74865	180	628
74866	180	271
74867	180	568
74868	180	357
74869	180	240
74870	180	1025
74871	180	1782
74872	180	1165
74873	180	1096
74874	180	199
74875	180	526
74876	180	522
74877	180	825
74878	180	345
74879	180	1479
74880	180	1163
74881	180	949
74882	180	15
74883	180	742
74884	180	71
74885	180	77
74886	180	1814
74887	180	275
74888	180	1673
74889	180	775
74890	180	1055
74891	180	755
74892	180	1745
74893	180	659
74894	180	1487
74895	180	88
74896	180	936
74897	180	90
74898	180	1466
74899	180	4
74900	180	109
74901	180	306
74902	180	325
74903	180	700
74904	180	562
74905	180	339
74906	180	555
74907	180	802
74908	180	136
74909	180	932
74910	180	979
74911	180	187
74912	180	457
74913	180	392
74914	180	1029
74915	180	1147
74916	180	1368
74917	180	1409
74918	180	1374
74919	180	521
74920	180	356
74921	180	119
74922	180	312
74923	180	1109
74924	180	941
74925	180	571
74926	180	61
74927	180	582
74928	180	1373
74929	180	384
74930	180	353
74931	180	487
74932	180	606
74933	180	476
74934	180	226
74935	180	950
74936	180	1587
74937	180	713
74938	180	711
74939	180	871
74940	180	261
74941	180	231
74942	180	1218
74943	180	456
74944	180	465
74945	180	283
74946	180	1506
74947	180	131
74948	180	303
74949	180	257
74950	180	1089
74951	180	561
74952	180	1379
74953	180	966
74954	180	458
74955	180	440
74956	180	827
74957	180	551
74958	180	63
74959	180	359
74960	180	770
74961	180	442
74962	180	162
74963	180	516
74964	180	657
74965	180	1210
74966	180	1614
74967	180	907
74968	180	1066
74969	180	1754
74970	180	1776
74971	180	803
74972	180	617
74973	180	223
74974	180	323
74975	180	585
74976	180	69
74977	180	1000
74978	180	454
74979	180	715
74980	180	1817
74981	180	800
74982	180	660
74983	180	874
74984	180	1767
74985	180	65
74986	180	1114
74987	180	556
74988	180	565
74989	180	1242
74990	180	790
74991	180	982
74992	180	589
74993	180	613
74994	180	285
74995	180	980
74996	180	609
74997	180	616
74998	180	60
74999	180	1671
75000	180	201
75001	180	1057
75002	180	137
75003	180	417
75004	180	159
75005	180	1116
75006	180	887
75007	180	1569
75008	180	569
75009	180	537
75010	180	450
75011	180	410
75012	180	310
75013	180	1534
75014	180	1143
75015	180	942
75016	180	848
75017	180	997
75018	180	428
75019	180	535
75020	180	877
75021	180	819
75022	180	1021
75023	180	592
75024	180	618
75025	180	483
75026	180	1377
75027	180	1102
75028	180	733
75029	180	289
75030	180	801
75031	180	542
75032	180	506
75033	180	222
75034	180	335
75035	180	466
75036	180	1433
75037	180	462
75038	180	916
75039	180	834
75040	180	1712
75041	180	1303
75042	180	422
75043	180	648
75044	180	621
75045	180	1067
75046	180	577
75047	180	80
75048	180	838
75049	180	547
75050	180	1226
75051	180	89
75052	180	1058
75053	180	434
75054	180	658
75055	180	1577
75056	180	1215
75057	180	123
75058	180	664
75059	180	1206
75060	180	107
75061	180	567
75062	180	1040
75063	180	401
75064	180	64
75065	180	708
75066	180	346
75067	180	669
75068	180	587
75069	180	1491
75070	180	619
75071	180	719
75072	180	930
75073	180	989
75074	180	1652
75075	180	481
75076	180	1044
75077	180	1022
75078	180	1017
75079	180	1764
75080	180	51
75081	180	1595
