rowcode	selection	commodity
11563	35	538
11564	35	1219
11565	35	1158
11566	35	742
11567	35	628
11568	35	932
11569	35	1266
11570	35	301
11571	35	995
11572	35	987
11573	35	963
11574	35	1029
11575	35	1049
11576	35	584
11577	35	668
11578	35	636
11579	35	417
11580	35	1141
11581	35	246
11582	35	1465
11583	35	286
11584	35	1142
11585	35	11
11586	35	1466
11587	35	1467
11588	35	1241
11589	35	959
11590	35	271
11591	35	137
11592	35	351
11593	35	178
11594	35	225
11595	35	787
11596	35	696
11597	35	1039
11598	35	561
11599	35	563
11600	35	232
11601	35	357
11602	35	1217
11603	35	1366
11604	35	598
11605	35	925
11606	35	80
11607	35	464
11608	35	1028
11609	35	744
11610	35	1128
11611	35	574
11612	35	1180
11613	35	268
11614	35	595
11615	35	1089
11616	35	1450
11617	35	470
11618	35	832
11619	35	1033
11620	35	753
11621	35	883
11622	35	381
11623	35	398
11624	35	1072
11625	35	541
11626	35	1163
11627	35	613
11628	35	1175
11629	35	1257
11630	35	192
11631	35	76
11632	35	477
11633	35	421
11634	35	918
11635	35	413
11636	35	756
11637	35	341
11638	35	914
11639	35	1389
11640	35	1476
11641	35	1477
11642	35	265
11643	35	711
11644	35	409
11645	35	593
11646	35	336
11647	35	984
11648	35	273
11649	35	520
11650	35	731
11651	35	142
11652	35	1379
11653	35	219
11654	35	264
11655	35	119
11656	35	1013
11657	35	92
11658	35	171
11659	35	969
11660	35	713
11661	35	939
11662	35	432
11663	35	650
11664	35	1253
11665	35	1342
11666	35	46
11667	35	130
11668	35	1118
11669	35	102
11670	35	170
11671	35	1206
11672	35	1372
11673	35	554
11674	35	182
11675	35	377
11676	35	245
11677	35	213
11678	35	1256
11679	35	1110
11680	35	610
11681	35	600
11682	35	422
11683	35	1478
11684	35	380
11685	35	179
11686	36	22
11687	36	978
11688	36	17
11689	36	31
11690	36	817
11691	36	688
11692	36	1248
11693	36	133
11694	36	53
11695	36	422
11696	36	4
11697	36	191
11698	36	952
11699	36	146
11700	36	111
11701	36	308
11702	36	597
11703	36	140
11704	36	10
11705	36	231
11706	36	466
11707	36	684
11708	36	66
11709	36	376
11710	36	751
11711	36	202
11712	36	75
11713	36	1216
11714	36	52
11715	36	210
11716	36	15
11717	36	262
11718	36	72
11719	36	693
11720	36	129
11721	36	203
11722	36	121
11723	36	465
11724	36	43
11725	36	38
11726	36	6
11727	36	412
11728	36	547
11729	36	192
11730	36	265
11731	36	744
11732	36	8
11733	36	399
11734	36	995
11735	36	161
11736	36	56
11737	36	11
11738	36	1462
11739	36	18
11740	36	764
11741	36	1233
11742	36	70
11743	36	884
11744	36	54
11745	36	447
11746	36	190
11747	36	186
11748	36	331
11749	36	1243
11750	36	610
11751	36	578
11752	36	438
11753	36	274
11754	36	1120
11755	36	328
11756	36	1263
11757	36	873
11758	36	150
11759	36	538
11760	36	1036
11761	36	44
11762	36	687
11763	36	492
11764	36	987
11765	36	143
